Date,Holiday
1/17/2011,Birthday of Martin Luther King, Jr.
2/21/2011,Washington's Birthday
5/30/2011,Memorial Day
7/4/2011,Independence Day
9/5/2011,Labor Day
10/10/2011,Columbus Day
11/11/2011,Veterans Day
11/24/2011,Thanksgiving Day
12/26/2011,Christmas Day
1/2/2012,New Year's Day
1/16/2012,Birthday of Martin Luther King, Jr.
2/20/2012,Washington's Birthday
5/28/2012,Memorial Day
7/4/2012,Independence Day
9/3/2012,Labor Day
10/8/2012,Columbus Day
11/12/2012,Veterans Day
11/22/2012,Thanksgiving Day
12/25/2012,Christmas Day